name,stars,num_reviews,price,cuisine
cafeteria,4 of 5 bubbles,599 reviews,$$ - $$$,American
Valbella,4.5 of 5 bubbles,217 reviews,$$$$,Steakhouse
Il Brigante,4.5 of 5 bubbles,293 reviews,$$ - $$$,Italian
Peacock Alley,4 of 5 bubbles,571 reviews,$$$$,American
Buenos Aires,4.5 of 5 bubbles,238 reviews,$$ - $$$,Steakhouse
Arturo's,4 of 5 bubbles,258 reviews,$$ - $$$,Italian
Coppola's Pizzeria Restaurant,4.5 of 5 bubbles,320 reviews,$$ - $$$,Italian
Da Andrea Ristorante,4.5 of 5 bubbles,247 reviews,$$ - $$$,Italian
Apotheke,4.5 of 5 bubbles,205 reviews,,
Bistro Les Amis,4.5 of 5 bubbles,265 reviews,$$ - $$$,French
Da Gennaro Restaurant,4 of 5 bubbles,"1,062 reviews",$$ - $$$,Italian
McGee's Pub & Restaurant,4 of 5 bubbles,779 reviews,$$ - $$$,American
Landmarc Restaurant,4 of 5 bubbles,662 reviews,$$ - $$$,American
Le Parisien,4.5 of 5 bubbles,231 reviews,$$ - $$$,French
Tick Tock Diner,4 of 5 bubbles,"2,975 reviews",$$ - $$$,American
Don Giovanni,4 of 5 bubbles,461 reviews,$$ - $$$,Italian
Momofuku Ssam Bar,4 of 5 bubbles,547 reviews,$$ - $$$,Asian
Cipriani,4.5 of 5 bubbles,336 reviews,$$$$,Italian
Raoul's,4.5 of 5 bubbles,297 reviews,$$$$,French
Puglia Restaurant,4 of 5 bubbles,334 reviews,$$ - $$$,Italian
Cellini,4 of 5 bubbles,317 reviews,$$ - $$$,Italian
Sarabeth's West,4 of 5 bubbles,586 reviews,$$ - $$$,American
Morrell Wine Bar & Cafe,4 of 5 bubbles,215 reviews,$$ - $$$,American
Pastrami Queen,4.5 of 5 bubbles,269 reviews,$$ - $$$,American
Blue Ribbon Sushi Bar & Grill,4 of 5 bubbles,199 reviews,$$ - $$$,Japanese
Thai Select,4.5 of 5 bubbles,280 reviews,$$ - $$$,Asian
West Bank Cafe,4 of 5 bubbles,284 reviews,$$ - $$$,American
Momoya,4.5 of 5 bubbles,150 reviews,$$ - $$$,Japanese
Bobby Van's Steakhouse - 50th Street,4 of 5 bubbles,499 reviews,$$$$,American
Cafe Cluny,4 of 5 bubbles,278 reviews,$$ - $$$,American
Bar Boulud,4 of 5 bubbles,716 reviews,$$$$,French
Ritz Diner,4 of 5 bubbles,315 reviews,$,American
The Stanton Social,4 of 5 bubbles,728 reviews,$$ - $$$,American
Stout,4 of 5 bubbles,341 reviews,$$ - $$$,American
Toasties,4.5 of 5 bubbles,122 reviews,$,American
Kristalbelli,4.5 of 5 bubbles,189 reviews,$$$$,Asian
Angelo's Pizza,4 of 5 bubbles,469 reviews,$$ - $$$,Italian
Crif Dogs,4 of 5 bubbles,339 reviews,$,American
ViceVersa,4 of 5 bubbles,356 reviews,$$ - $$$,Italian
Grazie,4 of 5 bubbles,237 reviews,$$ - $$$,Italian
Astro Restaurant,4 of 5 bubbles,524 reviews,$,American
Luzzo's,4.5 of 5 bubbles,304 reviews,$$ - $$$,Italian
Michael Jordan's The Steak House N.Y.C.,4 of 5 bubbles,854 reviews,$$$$,American
